Neighborhood,Count – number_of_properties,Median - accommodates,Average - bathrooms,Average - bedrooms,Median - beds,Average – price_per_night,Average - security_deposit,Average - cleaning_fee,Average – guests_included_for_price,Average – cost_per_extra_person,Median - minimum_nights,Median – available_nights_per_year,Average – total_number_of_reviews,Median – review_score,Median - reviews_per_month
Arbutus Ridge,69,3,1.4,1.7,1,175.16,382.63,75.33,1.7,13.14,2,127,18.7,97,1.03
Downtown,1214,3,1.3,1.2,1,192.46,455.04,77.69,1.7,17.55,2,82,28.7,96,1.88
Downtown Eastside,377,2,1.2,1.2,1,163.97,383.95,70.89,1.6,15.84,2,88,33.0,96,2.04
Dunbar Southlands,153,3,1.4,1.8,2,168.06,361.50,74.81,1.9,11.71,3,113,16.7,96,1.13
Fairview,305,2,1.2,1.2,1,175.39,355.63,57.98,1.4,13.20,2,19,10.7,97,0.74
Grandview-Woodland,443,3,1.3,1.4,1,117.63,281.63,53.51,1.8,14.13,2,89,24.9,96,1.44
Hastings-Sunrise,228,3,1.2,1.4,2,136.96,275.95,51.04,1.8,12.70,2,147,23.1,97,1.70
Kensington-Cedar Cottage,407,3,1.4,1.5,2,114.04,250.90,54.58,1.8,14.50,2,108,20.3,96,1.36
Kerrisdale,83,2,1.6,1.7,1,162.18,267.46,65.57,2.2,14.25,1,87,20.5,95,2.77
Killarney,64,2,1.1,1.2,1,74.50,323.18,42.83,1.5,12.81,2,89.5,12.5,93,1.63
Kitsilano,737,2,1.3,1.4,1,157.57,374.08,70.89,1.7,12.97,2,64,17.4,96,0.98
Marpole,149,2,1.2,1.4,1,110.60,270.57,47.84,1.6,11.39,1,164,20.3,95,1.84
Mount Pleasant,582,2,1.2,1.3,1,137.07,361.20,62.96,2.3,13.76,2,80.5,20.1,96,1.07
Oakridge,89,2,1.3,1.4,1,128.93,297.39,54.01,1.7,14.28,1,138,24.0,94,1.88
Renfrew-Collingwood,266,2,1.2,1.4,1,91.26,304.79,55.71,1.7,12.13,2,156,19.4,96,1.79
Riley Park,324,3,1.2,1.5,2,140.45,327.00,69.78,1.8,11.81,2,89.5,25.0,97,1.35
Shaughnessy,68,2,1.6,1.4,1,156.97,333.20,46.10,1.5,10.84,1,86,16.3,95,3.12
South Cambie,97,2,1.3,1.4,2,158.12,326.55,75.30,1.8,13.42,2,88,18.6,96,1.15
Strathcona,28,2,1.1,1.3,1,153.54,388.95,67.58,1.8,15.75,2,69,23.1,98,1.53
Sunset,120,4,1.4,1.6,2,121.78,273.30,51.99,1.8,12.05,1,134.5,24.7,94,1.95
Victoria-Fraserview,70,2,1.3,1.4,1,89.06,277.38,50.65,1.9,11.27,2,164.5,13.9,95,1.77
West End,674,2,1.1,1.0,1,169.18,310.86,61.91,1.5,13.30,2,52.5,23.7,96,1.33
West Point Grey,104,4,1.4,1.7,2,154.48,637.66,68.22,1.8,12.09,2,89.5,15.3,97,1.00
Total Result,6651,2,1.3,1.3,1,151.80,355.98,64.92,1.7,14.07,2,86,22.5,96,1.43
